GEO_ID,NAME,S1701_C01_001E
37001,"Alamance County, North Carolina",158887
37003,"Alexander County, North Carolina",35794
37005,"Alleghany County, North Carolina",10896
37007,"Anson County, North Carolina",23092
37009,"Ashe County, North Carolina",26520
37011,"Avery County, North Carolina",14059
37013,"Beaufort County, North Carolina",46640
37015,"Bertie County, North Carolina",18058
37017,"Bladen County, North Carolina",32918
37019,"Brunswick County, North Carolina",130834
37021,"Buncombe County, North Carolina",250342
37023,"Burke County, North Carolina",87290
37025,"Cabarrus County, North Carolina",204739
37027,"Caldwell County, North Carolina",80666
37029,"Camden County, North Carolina",10551
37031,"Carteret County, North Carolina",67723
37033,"Caswell County, North Carolina",21717
37035,"Catawba County, North Carolina",154803
37037,"Chatham County, North Carolina",70584
37039,"Cherokee County, North Carolina",27571
37041,"Chowan County, North Carolina",13811
37043,"Clay County, North Carolina",10921
37045,"Cleveland County, North Carolina",95255
37047,"Columbus County, North Carolina",52992
37049,"Craven County, North Carolina",97063
37051,"Cumberland County, North Carolina",316519
37053,"Currituck County, North Carolina",26187
37055,"Dare County, North Carolina",35970
37057,"Davidson County, North Carolina",162926
37059,"Davie County, North Carolina",41952
37061,"Duplin County, North Carolina",58374
37063,"Durham County, North Carolina",298040
37065,"Edgecombe County, North Carolina",51905
37067,"Forsyth County, North Carolina",364462
37069,"Franklin County, North Carolina",64746
37071,"Gaston County, North Carolina",215978
37073,"Gates County, North Carolina",11477
37075,"Graham County, North Carolina",8375
37077,"Granville County, North Carolina",56252
37079,"Greene County, North Carolina",18614
37081,"Guilford County, North Carolina",509531
37083,"Halifax County, North Carolina",49855
37085,"Harnett County, North Carolina",128703
37087,"Haywood County, North Carolina",60256
37089,"Henderson County, North Carolina",113463
37091,"Hertford County, North Carolina",21826
37093,"Hoke County, North Carolina",52105
37095,"Hyde County, North Carolina",4624
37097,"Iredell County, North Carolina",173761
37099,"Jackson County, North Carolina",39019
37101,"Johnston County, North Carolina",194905
37103,"Jones County, North Carolina",9536
37105,"Lee County, North Carolina",59433
37107,"Lenoir County, North Carolina",55386
37109,"Lincoln County, North Carolina",82082
37111,"McDowell County, North Carolina",44137
37113,"Macon County, North Carolina",34514
37115,"Madison County, North Carolina",20421
37117,"Martin County, North Carolina",22599
37119,"Mecklenburg County, North Carolina",1058840
37121,"Mitchell County, North Carolina",14559
37123,"Montgomery County, North Carolina",26114
37125,"Moore County, North Carolina",95974
37127,"Nash County, North Carolina",92009
37129,"New Hanover County, North Carolina",221075
37131,"Northampton County, North Carolina",19065
37133,"Onslow County, North Carolina",174605
37135,"Orange County, North Carolina",133298
37137,"Pamlico County, North Carolina",11977
37139,"Pasquotank County, North Carolina",36935
37141,"Pender County, North Carolina",58999
37143,"Perquimans County, North Carolina",13267
37145,"Person County, North Carolina",38792
37147,"Pitt County, North Carolina",171321
37149,"Polk County, North Carolina",20256
37151,"Randolph County, North Carolina",141274
37153,"Richmond County, North Carolina",43457
37155,"Robeson County, North Carolina",128917
37157,"Rockingham County, North Carolina",89643
37159,"Rowan County, North Carolina",135980
37161,"Rutherford County, North Carolina",65312
37163,"Sampson County, North Carolina",62511
37165,"Scotland County, North Carolina",32639
37167,"Stanly County, North Carolina",59571
37169,"Stokes County, North Carolina",45243
37171,"Surry County, North Carolina",70930
37173,"Swain County, North Carolina",14063
37175,"Transylvania County, North Carolina",32699
37177,"Tyrrell County, North Carolina",3329
37179,"Union County, North Carolina",227980
37181,"Vance County, North Carolina",43836
37183,"Wake County, North Carolina",1046544
37185,"Warren County, North Carolina",18957
37187,"Washington County, North Carolina",11727
37189,"Watauga County, North Carolina",48976
37191,"Wayne County, North Carolina",120420
37193,"Wilkes County, North Carolina",67437
37195,"Wilson County, North Carolina",79833
37197,"Yadkin County, North Carolina",37260
37199,"Yancey County, North Carolina",17608
