Province,ID,Cumulative_total_2014_2015,Percent
Battambang,2,64,25.91093117
Pailin,12,30,12.14574899
Banteay Mean Chey,1,26,10.52631579
Preah Vihear,18,25,10.12145749
Pursat,17,22,8.906882591
Otdar Mean Chey,15,22,8.906882591
Kampong Thom,7,12,4.858299595
Kampong Cham,4,10,4.048582996
Kampong Speu,6,8,3.238866397
Siem Reap,21,6,2.429149798
Kampong Chhnang,5,4,1.619433198
Prey Veaeng,19,4,1.619433198
Kracheh,11,3,1.214574899
Kaoh Kong,9,3,1.214574899
Rotanak Kiri,20,3,1.214574899
Kandal,8,2,0.809716599
Krong Preah Sihanouk,13,1,0.4048583
Stueng Traeng,22,1,0.4048583
Svay Rieng,23,1,0.4048583
Kampot,3,0,0
Phnom Penh,16,0,0
Takaev,24,0,0
Kaeb,10,0,0
Mondol Kiri,14,0,0
